Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
125,2020-12-04,5:00 PM,Maharashtra,2,1,1298223,68300,1698304
68,2020-07-18,8:00 PM,West Bengal,8,0,4309196,30012,3363462
669,2020-02-10,8:00 PM,Delhi,1,2,1209261,13745,5706883
116,2020-10-03,5:00 PM,Maharashtra,1,1,726429,66454,3082235
371,2021-03-15,8:00 AM,Gujarat,1,1,4461771,86946,4380565
932,2020-09-10,5:00 PM,West Bengal,1,1,4894334,92658,2596991
614,2020-09-19,9:00 AM,Rajasthan,1,-,405476,5346,1085977
48,2021-01-26,6:00 PM,Gujarat,5,14,1252990,80099,5305767
509,2021-05-27,8:00 AM,Uttar Pradesh,0,2,721275,87372,3863944
531,2021-01-26,8:00 AM,Jharkhand,0,-,4452878,24995,4195250
633,2021-01-24,6:00 PM,Haryana,2,14,3894749,117950,5476768
892,2020-09-12,5:00 PM,Delhi,3,1,104235,115474,3409523
130,2021-04-03,5:00 PM,Jharkhand,8,14,1477489,55248,2942815
107,2021-03-21,9:00 AM,Punjab,2,14,2783718,72898,238260
428,2020-07-03,8:00 AM,Rajasthan,0,-,3543139,68193,2241619
29,2020-02-15,5:00 PM,Karnataka,3,-,4919110,36644,1466191
448,2020-11-21,5:00 PM,Delhi,2,0,2141193,101746,1354204
272,2020-10-13,6:00 PM,Odisha,0,-,1779714,35635,2948076
714,2020-10-07,8:00 PM,Tamil Nadu,5,1,4389768,98657,1585863
106,,,,,,3066609,99004,112464
10,2020-12-15,5:00 PM,Rajasthan,8,-,2549309,107104,5574914
821,2021-07-15,8:00 AM,Karnataka,-,2,645740,73334,824304
108,2021-05-28,5:00 PM,Chhattisgarh,2,2,919420,103503,3108197
988,2021-02-14,8:00 PM,Uttar Pradesh,8,-,4793455,90870,4311917
676,2020-04-12,8:00 PM,Bihar,2,2,2204022,33273,659714
943,2020-04-09,8:00 AM,Bihar,5,1,1921299,23446,2994992
89,2021-05-02,5:00 PM,Assam,0,2,4127115,80550,141246
52,2020-05-19,6:00 PM,Telangana,5,-,1623499,100963,481046
957,2020-04-16,9:00 AM,Jammu and Kashmir,1,0,4761509,81678,1738442
661,2020-12-11,5:00 PM,Gujarat,1,-,66215,13875,3929171
6,2021-07-08,5:00 PM,Andhra Pradesh,-,-,360224,29202,3236801
169,2020-12-04,8:00 AM,Chhattisgarh,1,14,2522265,77158,1543516
988,2021-03-01,8:00 AM,Maharashtra,1,1,91943,80203,2080652
902,2020-04-24,5:00 PM,Jammu and Kashmir,5,-,1475936,66566,4086258
327,2021-07-26,8:00 AM,West Bengal,1,0,4179943,101055,450046
455,2021-03-15,8:00 AM,Telangana,2,1,4064028,28475,209433
219,2020-12-25,8:00 PM,Maharashtra,3,1,3388837,36427,5129257
665,2020-07-16,9:00 AM,Andhra Pradesh,-,2,1593273,97421,3083506
402,2020-06-17,5:00 PM,Delhi,-,14,1519044,67182,462071
326,,,,,,4400972,43873,3375448
849,2021-03-27,8:00 AM,Karnataka,1,2,1689079,82778,4798950
282,2020-04-07,8:00 AM,Punjab,5,14,12042,26835,2450762
823,2020-11-05,5:00 PM,West Bengal,2,1,4835351,5793,5226355
84,2020-02-29,9:00 AM,Karnataka,2,2,3602475,93014,1834569
38,2021-03-15,5:00 PM,Assam,0,0,4857280,104294,1626171
980,2020-02-20,6:00 PM,Punjab,1,14,518737,12436,1542190
973,2020-11-11,8:00 PM,Karnataka,0,14,4345717,78257,288712
308,2021-04-25,6:00 PM,Jharkhand,1,2,3750816,29418,4991532
582,2020-10-20,9:00 AM,Andhra Pradesh,3,2,492565,60254,9611
727,2020-10-26,9:00 AM,Telangana,1,0,2884297,96661,387262
678,2021-06-28,9:00 AM,Madhya Pradesh,-,2,998516,85727,3148892
771,2020-04-22,6:00 PM,Rajasthan,5,2,3744098,23297,3780875
117,2021-05-17,8:00 PM,West Bengal,5,14,3679962,15812,5768002
85,2020-06-28,9:00 AM,Punjab,3,-,4806454,36529,4253120
178,2020-02-14,8:00 AM,Bihar,-,2,222590,33881,2447409
838,2021-03-20,8:00 PM,Punjab,3,1,4788244,77043,3367720
151,2021-04-14,9:00 AM,Tamil Nadu,-,14,4863550,15739,3772967
675,2020-02-19,9:00 AM,Kerala,2,-,3864774,67762,2091490
772,2021-02-22,8:00 PM,Jammu and Kashmir,1,14,1248859,73312,1661465
716,2020-02-25,8:00 PM,Maharashtra,0,2,4137055,40300,998123
614,2021-05-18,8:00 AM,Chhattisgarh,-,0,3185705,86604,5386123
200,2021-01-09,8:00 PM,Madhya Pradesh,0,-,3043516,82336,2143048
876,,,,,,1268682,117748,2563539
811,2020-08-18,5:00 PM,Telangana,2,1,593199,7739,3967783
280,2021-05-15,8:00 AM,Jharkhand,1,-,334295,55405,1239237
902,2020-09-01,8:00 AM,Telangana,0,-,3363819,41463,2236566
205,2020-08-05,8:00 PM,Delhi,-,0,1364962,109450,818191
107,2020-09-28,8:00 PM,Telangana,8,1,1214219,51313,860885
836,2020-07-13,9:00 AM,Punjab,8,14,2629468,93124,3082648
683,2021-07-30,8:00 PM,Haryana,5,2,897362,116826,5514449
610,2020-07-30,6:00 PM,Jammu and Kashmir,5,1,3826697,16109,2902952
315,2020-09-28,5:00 PM,Gujarat,-,0,4126321,12737,3800572
885,,,,,,239141,31336,4076646
860,2021-04-28,8:00 PM,Bihar,1,0,865771,87403,1482657
445,2021-08-10,8:00 AM,Maharashtra,8,-,414469,40132,889390
878,2020-09-23,8:00 PM,Haryana,1,2,2204035,43819,3762089
252,2020-09-02,8:00 AM,Maharashtra,1,14,3637988,42864,1714147
578,2020-03-22,8:00 PM,Telangana,3,0,4637920,21137,3951503
889,2020-07-19,6:00 PM,Bihar,8,14,1295310,58962,3739885
873,,,,,,894770,36303,2392817
951,2021-02-03,8:00 PM,Telangana,3,2,4697121,13222,2222433
641,2021-08-07,8:00 AM,Bihar,3,14,3515620,117689,5324299
686,2021-06-14,9:00 AM,Delhi,1,2,1404201,50388,4617731
93,2020-07-11,8:00 AM,Jharkhand,5,0,3654057,43473,769712
875,2021-02-25,8:00 PM,West Bengal,8,14,913295,63932,3822822
708,2020-08-30,6:00 PM,Odisha,-,0,3346200,92652,3606997
525,2020-03-22,8:00 AM,Karnataka,8,2,1438389,17082,5014002
266,2021-02-27,8:00 PM,Assam,5,0,2519199,77064,2802718
981,2021-02-05,9:00 AM,Rajasthan,5,-,1057468,10097,153974
13,2020-08-11,8:00 AM,Tamil Nadu,3,0,2973165,59903,1326677
618,2020-03-16,8:00 PM,Uttar Pradesh,5,14,1833767,56536,1087474
71,2020-05-10,8:00 PM,Gujarat,0,14,2559330,99895,167392
317,2020-09-21,8:00 AM,Jharkhand,-,1,2627419,38125,3848875
638,2020-07-18,5:00 PM,Chhattisgarh,0,1,1436841,77311,1403478
724,2020-07-10,6:00 PM,West Bengal,5,-,915346,1653,5400162
131,2021-05-15,8:00 AM,Madhya Pradesh,8,-,1935170,98277,5498863
559,2021-03-18,8:00 PM,Gujarat,-,0,1712936,102191,4765351
22,2020-04-14,9:00 AM,Punjab,5,2,4001258,64698,3513647
312,2021-02-13,9:00 AM,Kerala,1,-,4180454,6554,5883851
40,2020-04-22,8:00 AM,Jammu and Kashmir,8,0,2292544,107797,2502280
74,2020-08-06,8:00 PM,Bihar,0,-,42619,97081,3540977
700,2021-04-10,9:00 AM,Andhra Pradesh,2,14,2665652,83887,1195252
288,2020-07-07,5:00 PM,Uttar Pradesh,-,14,4190045,68476,1656045
583,2020-02-27,6:00 PM,Kerala,1,0,3405114,77793,2274031
793,2021-03-22,8:00 PM,Odisha,8,14,1464538,57928,4772464
991,2020-04-25,8:00 AM,Tamil Nadu,3,0,1580242,8107,74088
366,2020-04-18,8:00 AM,Tamil Nadu,1,0,4863623,101670,3646851
308,2021-07-04,8:00 PM,Assam,2,-,3531836,83634,4544677
396,2021-03-06,6:00 PM,Rajasthan,2,0,24769,107282,754592
991,2020-12-08,8:00 PM,Rajasthan,3,1,741450,4072,5246597
692,2020-10-29,8:00 AM,Jharkhand,8,0,4283475,86421,4978470
782,2020-02-05,6:00 PM,Bihar,-,-,2610090,107900,2032879
646,2021-02-26,9:00 AM,Chhattisgarh,5,2,1123244,5347,2796916
147,2020-09-08,6:00 PM,Jharkhand,-,1,4001100,4741,4272183
920,2021-06-06,8:00 PM,Jammu and Kashmir,5,14,2764668,11378,5566612
497,2020-12-12,5:00 PM,Haryana,5,14,1564982,117969,3282559
167,2021-05-25,9:00 AM,Tamil Nadu,5,2,7481,113770,5059978
221,2020-12-03,5:00 PM,Karnataka,0,0,2939138,119884,427876
173,2020-06-15,9:00 AM,Gujarat,5,1,4393732,28998,830581
899,2020-03-24,5:00 PM,Gujarat,-,1,4611538,74555,4703118
750,2020-06-03,9:00 AM,Delhi,-,14,1979439,66777,3778133
892,2020-10-31,8:00 PM,Uttar Pradesh,3,14,1502850,97506,5770229
232,,,,,,2656912,68515,5111334
991,2020-10-07,8:00 AM,Chhattisgarh,1,14,8850,118813,5684867
330,2020-05-26,5:00 PM,Tamil Nadu,5,14,805979,104326,5949648
128,2021-07-23,8:00 PM,Odisha,-,1,1255778,73907,4631755
164,2020-10-10,6:00 PM,Bihar,8,1,2167742,66053,4579714
221,2021-03-14,5:00 PM,Odisha,2,1,71944,2613,1735313
727,2020-04-29,9:00 AM,Bihar,1,2,4277825,89598,3466865
654,2020-03-08,8:00 AM,Tamil Nadu,1,-,3684635,33987,3830922
871,2020-06-15,5:00 PM,Chhattisgarh,5,2,2305595,6020,1028431
430,2020-11-15,6:00 PM,West Bengal,8,14,3636169,45730,1535310
190,2020-06-28,8:00 AM,Madhya Pradesh,1,1,3067830,81166,477218
644,2021-06-08,5:00 PM,Punjab,5,-,1540041,119187,5898006
751,2021-07-03,6:00 PM,Maharashtra,3,-,1310931,64509,1773266
420,2021-02-16,9:00 AM,Gujarat,8,14,4074182,108083,2572561
146,2021-03-13,9:00 AM,Punjab,8,2,3741210,22113,1044319
279,2020-08-31,6:00 PM,Maharashtra,5,-,211947,38490,5919912
649,2021-04-28,5:00 PM,Kerala,-,1,4829652,41344,3997785
46,2020-10-08,5:00 PM,Delhi,0,14,3066251,97844,783207
366,2020-12-17,9:00 AM,West Bengal,2,14,2372494,77838,712
169,2020-10-28,8:00 PM,Kerala,8,1,4970985,54062,488213
952,2021-05-06,6:00 PM,Punjab,3,-,3457190,117636,3520896
281,2020-05-30,9:00 AM,Andhra Pradesh,-,0,2195069,56041,2053276
491,2020-06-06,9:00 AM,Uttar Pradesh,5,0,182137,16277,2766073
585,2020-11-09,9:00 AM,Karnataka,3,1,1854916,105681,2395709
327,2021-01-01,5:00 PM,Odisha,8,14,3368764,33776,353474
144,2021-04-12,5:00 PM,Odisha,5,0,1498808,91606,5317627
240,2021-03-28,8:00 AM,Andhra Pradesh,1,1,1590138,47096,436388
312,2021-03-02,5:00 PM,Rajasthan,-,0,4277299,88547,4239346
87,,,,,,186159,30597,4869603
680,2021-02-19,8:00 PM,Madhya Pradesh,3,1,2053040,85128,3119172
806,2021-05-06,8:00 AM,Jammu and Kashmir,3,-,1060758,31323,2418807
431,2020-12-26,6:00 PM,Gujarat,8,-,3802414,39754,676594
899,2020-08-23,6:00 PM,Gujarat,1,-,1805534,37166,4149145
76,2020-07-29,8:00 PM,Haryana,5,-,1930729,74984,337821
934,2020-09-10,8:00 AM,Madhya Pradesh,8,14,659966,83100,3469236
217,2021-02-28,5:00 PM,Kerala,2,2,2348223,4406,4702676
414,2020-07-14,5:00 PM,Gujarat,8,-,1828709,60249,5601863
838,2021-07-23,8:00 PM,Delhi,8,2,1343386,65553,3331491
369,2021-05-13,8:00 PM,Haryana,2,14,2735527,53924,5675724
406,2020-02-20,9:00 AM,Jammu and Kashmir,-,1,3262096,40864,5745727
70,2021-03-20,5:00 PM,Maharashtra,5,0,3939554,87453,1572268
366,2020-09-01,8:00 PM,Rajasthan,8,2,3395172,82979,2803117
665,2021-07-28,6:00 PM,Andhra Pradesh,2,1,1067020,115923,3803044
22,2020-08-24,8:00 PM,Delhi,0,-,3075248,31949,2876873
180,2021-03-09,8:00 PM,Chhattisgarh,3,14,2101722,119727,532868
472,2020-08-24,5:00 PM,Jharkhand,8,0,1820694,68895,5274338
528,2020-08-06,9:00 AM,Rajasthan,5,0,4615622,57192,5694612
746,2020-10-21,8:00 AM,Jammu and Kashmir,8,14,4917985,61628,1003998
462,2021-05-24,8:00 AM,Jharkhand,3,14,2591127,107537,4132338
837,2020-11-17,5:00 PM,Haryana,2,0,2521840,33811,1296351
464,2020-08-07,8:00 PM,Rajasthan,2,2,2867500,14673,4206165
