Sno,State/UT,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18
833,Bihar,2280,320,182,26,1935,1992,875,36499,154,54292
72,Maharashtra,1478,272,163,61,4974,34430,595,14500,73,36364
985,Odisha,1785,546,93,54,3690,11802,1150,17325,843,2062
530,Haryana,389,10,171,72,1608,28254,368,26154,407,10335
394,Telangana,2323,436,131,7,1193,40365,20,24375,215,30431
501,Karnataka,2484,42,198,6,260,47737,1319,8264,121,19965
415,Bihar,3447,208,199,62,2606,6212,1495,25235,827,40931
798,Rajasthan,409,536,4,17,1174,75566,945,10832,876,12272
613,Chhattisgarh,2903,14,79,52,2686,37728,1127,26522,613,47796
522,Kerala,1030,94,90,21,4517,13950,841,8510,714,46080
32,Chhattisgarh,2029,402,20,73,2404,61292,1269,36885,775,24620
852,Kerala,3804,349,200,49,3649,68466,125,28746,720,18139
353,Telangana,1186,290,164,6,4967,63948,151,16326,453,17897
322,Andhra Pradesh,364,342,158,62,2615,73882,864,22868,390,46279
227,Kerala,2070,125,171,9,1579,10489,418,35352,533,51332
948,Karnataka,2928,80,148,59,2640,59555,124,29625,225,49319
130,Bihar,3838,525,22,1,4676,28051,1005,30638,79,56129
49,Kerala,2314,192,66,70,3965,70953,820,5043,689,33862
62,Karnataka,1273,165,120,51,2843,38213,1044,17238,13,55478
746,West Bengal,2847,99,11,33,3764,28048,1302,6916,652,45626
482,Andhra Pradesh,1149,379,67,18,3343,23908,617,17365,778,28240
823,,3066,155,8,68,2758,68119,708,23022,859,3983
174,Punjab,2857,412,169,43,4645,32498,329,24161,41,35106
420,Assam,562,101,172,75,1525,16528,1338,2903,324,51764
816,Gujarat,276,97,88,32,1586,30889,1155,33719,168,39476
623,Assam,1537,180,102,15,2068,21245,307,8011,104,37965
431,West Bengal,2189,235,65,53,4875,40345,488,33331,687,14180
244,Rajasthan,2648,379,199,6,855,42681,1286,17202,777,35335
274,Telangana,95,599,136,76,4476,14318,19,39649,343,22458
349,Telangana,3519,371,85,18,3416,2816,664,33601,556,34387
822,Haryana,748,205,8,66,2634,56217,1063,11958,846,16088
68,Telangana,2700,61,94,3,2388,26073,545,15232,9,40995
351,Assam,143,183,58,55,2841,43890,1341,8996,683,3649
597,Haryana,2810,384,112,61,4487,26819,1286,17694,672,1223
945,Chhattisgarh,345,223,68,33,4079,54067,62,38506,662,19054
802,Odisha,611,265,67,59,3771,37936,324,24466,131,47561
686,Jammu and Kashmir,1486,35,109,71,434,23857,311,37852,858,33456
679,Jharkhand,66,163,97,3,3821,29262,959,18576,705,41529
262,Odisha,1212,209,68,26,930,67378,102,18359,817,31696
749,Tamil Nadu,1971,92,25,39,714,2835,899,12635,610,42010
16,Assam,1686,222,2,57,2023,54872,347,18583,319,57817
71,Odisha,1581,558,78,44,2597,33622,666,2055,71,50797
156,Bihar,1309,433,132,37,2371,21971,633,17172,781,37924
372,Uttar Pradesh,149,365,199,64,3158,59770,558,17638,582,42451
875,Delhi,3292,75,137,43,1383,24975,119,3584,731,31716
777,Rajasthan,651,319,132,63,2205,11477,425,19160,537,26367
12,Bihar,1165,288,188,3,1844,47939,719,39991,795,48182
729,Maharashtra,1752,548,155,67,3337,59669,531,33905,802,1078
773,Telangana,1705,211,2,37,3723,63196,574,27248,16,15573
144,Telangana,2460,429,135,57,3843,38010,818,38547,670,4317
280,Maharashtra,3783,134,58,9,3068,42886,648,17435,398,36059
883,Madhya Pradesh,696,267,104,42,4226,40447,1267,13465,847,39488
944,Chhattisgarh,239,15,67,26,2989,29770,1055,35205,241,45493
297,Bihar,750,370,2,4,1303,35799,41,32743,377,58103
276,Punjab,179,522,146,9,2095,47137,856,38297,682,50430
61,Maharashtra,1060,470,51,27,3765,70090,142,15564,385,58820
157,West Bengal,1377,433,90,72,3897,10035,564,30970,31,3300
883,Uttar Pradesh,3367,471,122,66,3288,32058,101,27570,756,55399
213,Telangana,1146,119,156,65,3810,79133,1108,37418,882,48661
292,Rajasthan,2574,115,52,49,4273,54876,713,39302,5,15862
648,Uttar Pradesh,576,205,106,38,1127,18200,1424,35112,554,45568
150,Uttar Pradesh,2447,433,27,71,2979,23772,307,7521,657,4036
523,Rajasthan,868,86,48,64,2717,24080,621,3999,226,51715
872,Delhi,3400,152,68,18,1816,21081,449,38101,15,40530
285,Punjab,3544,554,137,28,549,36969,771,5821,327,15144
993,Andhra Pradesh,553,253,26,22,3994,74383,618,3831,693,20623
753,Karnataka,2839,217,184,44,3701,60349,359,39179,249,56550
755,Jharkhand,987,588,84,25,2721,66238,724,25534,634,49858
690,West Bengal,470,375,23,77,1742,27193,300,31867,822,14410
2,Tamil Nadu,3925,316,169,39,4938,23365,524,38931,485,54726
650,Bihar,2971,382,193,5,1334,73737,1384,16674,421,33692
223,Odisha,610,215,90,72,1054,55843,153,38565,498,57854
980,Bihar,3248,183,73,57,2470,1698,307,38647,411,2401
63,Telangana,940,519,17,78,2893,74610,1195,36060,466,5742
552,Madhya Pradesh,3661,504,36,66,951,17721,1033,9285,165,31262
538,Telangana,2019,207,4,17,4293,38817,1259,10007,488,41226
314,Gujarat,1608,128,191,71,4722,29703,992,32760,389,10692
613,Jharkhand,2788,234,91,37,664,35228,697,19976,100,12017
201,Rajasthan,998,146,101,36,3904,36493,432,6140,648,5924
428,Karnataka,2688,207,80,4,4000,2903,290,31335,542,19143
768,Telangana,2102,236,90,26,4086,38825,1186,35470,511,59887
7,Bihar,904,343,180,32,442,31880,696,37222,605,56267
999,Tamil Nadu,785,94,168,48,4511,22991,1336,24585,720,29864
675,Karnataka,3446,325,159,28,4876,67591,744,31666,379,24119
546,Chhattisgarh,3577,565,47,69,954,7160,543,35825,475,29744
220,,1010,58,103,6,3679,78094,1027,6804,7,15958
967,Telangana,343,389,87,59,2218,1581,555,23541,344,47489
678,Rajasthan,3324,226,81,25,94,51723,128,14056,806,49165
173,Delhi,3122,10,132,42,2621,39702,278,22220,693,17915
521,Punjab,1814,449,5,7,3471,64564,278,25696,8,30536
592,Gujarat,540,255,153,78,4831,74977,1492,25688,272,45315
599,Delhi,1425,286,186,76,1732,53884,211,32874,368,28734
975,Jharkhand,1692,63,26,46,4785,5291,602,32365,704,6156
589,Bihar,3800,542,35,33,2451,43385,811,22100,145,40612
509,Andhra Pradesh,2922,213,141,56,3800,8195,944,27927,260,55395
691,Jammu and Kashmir,3955,376,69,50,159,50245,1424,36897,356,17715
645,Delhi,3767,437,28,41,1729,38309,614,8490,586,41854
280,Tamil Nadu,3953,523,103,18,1007,49743,1499,24776,48,19557
208,Chhattisgarh,1120,370,3,79,4511,67817,923,30385,863,35964
13,Maharashtra,170,229,92,63,632,56203,90,13898,486,58434
134,Andhra Pradesh,897,99,113,68,4994,41002,318,27456,627,59092
55,Rajasthan,3112,410,120,15,2071,51081,449,8330,409,48728
542,Assam,1428,44,110,6,4127,5830,793,1486,572,38322
198,Delhi,1243,438,24,79,1245,1814,240,33568,573,27715
587,Madhya Pradesh,3972,347,91,63,620,78493,1392,5116,198,56531
420,Punjab,3003,540,83,37,4404,68942,1439,4037,433,25176
374,Punjab,2615,228,170,6,948,49793,162,23941,743,37862
378,Bihar,1647,413,123,26,2410,11461,991,15398,584,53664
573,Andhra Pradesh,2178,562,30,17,4282,12829,490,15891,233,39339
925,Kerala,1546,414,95,69,2240,38786,20,27934,854,7861
166,Chhattisgarh,355,344,48,34,4746,75026,61,7387,292,44136
19,Jammu and Kashmir,1384,369,65,10,3010,1800,580,1915,138,29785
234,Gujarat,1325,483,77,35,3892,57331,1020,29465,856,42528
377,Tamil Nadu,1195,116,36,5,2637,39184,576,23359,561,32065
714,West Bengal,2163,451,98,42,1814,58006,683,6225,765,23072
703,Bihar,2478,340,194,35,244,40351,108,21298,271,28826
559,Rajasthan,2974,252,132,22,1638,32054,328,10531,45,31189
376,Tamil Nadu,954,95,180,77,4586,77342,1330,14376,251,53666
835,West Bengal,532,356,30,65,4827,6134,894,607,348,1681
879,Gujarat,2664,545,71,64,2928,78755,1180,10779,89,44020
973,Uttar Pradesh,3494,404,153,63,4909,62844,277,38976,222,54925
521,Chhattisgarh,2675,314,77,14,1347,13955,241,6311,807,56725
68,Karnataka,3963,527,123,66,913,53068,126,13098,61,17581
246,Telangana,507,240,9,58,2276,65780,908,28608,610,28457
191,Karnataka,1008,272,51,9,757,75983,353,16922,406,49615
287,Andhra Pradesh,3231,510,59,66,319,41644,495,25648,772,48512
716,Kerala,2100,305,11,77,2906,64120,1330,36358,70,13517
456,Telangana,1805,300,109,40,3708,47644,824,31979,317,5503
11,Delhi,3001,240,171,78,4250,9792,248,33912,319,48212
820,,3792,212,164,62,726,55016,359,26144,818,23473
757,Jammu and Kashmir,2960,593,159,32,1639,52381,436,37653,719,54761
882,Haryana,918,254,132,17,4379,66635,296,30356,12,39768
650,Uttar Pradesh,1702,255,173,66,3585,76454,425,5819,250,46303
404,Karnataka,1932,456,129,56,292,39191,208,32309,551,38566
149,West Bengal,3845,268,80,75,976,4110,754,21900,570,45965
112,Assam,2408,366,62,17,1597,8135,1256,21443,344,25500
594,Karnataka,922,41,52,77,863,63154,105,28055,882,25259
612,Bihar,1582,556,4,73,3508,28491,1319,37797,607,749
191,Maharashtra,1404,445,182,16,683,41170,398,38215,778,47708
37,Telangana,694,479,153,26,1026,14973,61,32520,142,2255
