lab,address,pincode,city,state,type
All India Institute of Medical Sciences,Salt Lake,476424,Hyderabad,Andhra Pradesh,Collection Site
All India Institute of Medical Sciences,Station Road,469727,Kolkata,Kerala,Private Laboratory
King Institute of Preventive Medicine,Ring Road,767533,Hyderabad,Andhra Pradesh,Private Laboratory
Christian Medical College Lab,Sector 12,150821,Mumbai,Karnataka,Collection Site
King Institute of Preventive Medicine,Station Road,744653,Lucknow,Maharashtra,Collection Site
Metropolis Healthcare Lab,MG Road,628780,Lucknow,Andhra Pradesh,Private Laboratory
Government Medical College,Civil Lines,110361,Chennai,Gujarat,Collection Site
Government Medical College,Jubilee Hills,599462,Mumbai,Maharashtra,Private Laboratory
Government Medical College,MG Road,532687,Kolkata,Telangana,Private Laboratory
Government Medical College,Ring Road,171157,Pune,Maharashtra,Collection Site
King Institute of Preventive Medicine,Gandhi Nagar,603859,Kolkata,Kerala,Government Laboratory
Metropolis Healthcare Lab,MG Road,169049,Delhi,Punjab,Government Laboratory
