Updated On,State,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
2021-05-30,Gujarat,43682107.31,44007,16481,915829,10850674,21164912,15343915,3682,535701,847941,97167,29750,15679746,510150,7713120,9639608,4267577,687231,7444023,3190165,675,27306228.38
2021-06-09,Bihar,7406753.18,117872,26089,32977118,10158927,2277595,17155509,2340,6071384,9300326,193763,14513,117111,880270,3988908,9567258,2527530,2356996,1328223,1972035,2173,19762288.36
2021-07-27,Punjab,32001726.2,159969,22304,2759611,897657,6563042,9580450,4789,3997749,5802249,48559,23506,5380081,654129,5769989,11302037,4814336,7981192,1719940,2266720,3337,14679289.56
2021-05-13,Assam,6814987.93,75178,20500,25504034,10752831,16615317,16855279,3767,814609,33285475,175747,5241,15863814,9651634,3294454,9690866,2036909,6880419,13117124,4971059,1500,10556425.37
2021-06-26,Maharashtra,46101825.43,166904,24213,30570749,1889281,15542641,13409106,4585,4320830,15597322,159096,19834,19924406,6212672,3266233,11201077,2348672,2773661,9551610,8706753,545,3348370.52
2021-02-08,Bihar,23897228.23,146698,23540,12056093,10106200,3540330,18125077,1724,5764562,19312174,74676,2175,18184872,9363142,9583619,8826487,11407680,24048,16672009,6722894,3618,31629472.31
2021-05-18,Kerala,6247877.41,107819,6776,711682,9289805,19032446,17473312,4580,6040796,26498844,162608,5960,13300595,9834901,3172538,5650110,1906716,556085,19624839,9616979,1601,23031582.75
2021-02-26,Odisha,36888183.32,125079,11020,12423464,9592757,16850802,22072091,2507,1299373,9312943,112630,21369,3749243,2246140,4388782,15508460,5951328,428087,15261018,9697267,2070,36919314.02
2021-06-01,Punjab,2676343.44,45814,23839,10258292,11261813,13951614,16051281,3409,1563090,27170833,45632,2018,3801070,7301816,4986546,11843537,12587846,3354174,17837614,8557379,118,663576.22
2021-04-22,Gujarat,49341453.43,259425,8819,24247649,4535476,4265886,6269532,2736,2957258,20621084,113569,4605,13512598,7561589,3899063,14437222,2234361,7318055,18319710,1034224,2566,20952066.14
2021-05-17,Telangana,27789729.63,58818,3442,27711207,525884,23583551,16060231,2809,7811023,38949191,152417,12293,900403,8942733,7351868,17505303,6432394,4689164,10429733,11128970,3614,8544365.0
2021-02-09,Gujarat,6309633.95,52394,4368,27550303,4904480,5723235,13811520,916,6083969,14344775,119761,25430,5998383,100088,7191898,14550743,5786626,1829850,6341728,2999017,3167,27469997.2
2021-07-17,Telangana,35582049.96,189308,11286,23524466,5842916,22303527,21849977,482,6432812,8203154,148947,12367,6862242,4836694,3161541,807523,1595138,6086591,5337584,10302775,1352,33637738.95
2021-03-13,Karnataka,9647408.39,123370,28084,30698387,7237469,24502322,23561718,3232,6151431,38058290,151536,1872,9931476,8304504,7550147,7918432,6104178,2381992,3302213,8118231,575,10410551.86
2021-03-03,Delhi,15974011.96,233964,14335,22195962,3260158,15290420,17932360,1078,6766359,8116726,53982,14996,7314738,13451082,8092057,4903509,3822357,1565041,8565189,9218291,1140,23687783.98
,,9501858.36,61827,,22592423,4771743,9989203,6501579,1013,3504793,31820190,150485,26360,3159236,10774086,2065708,8528087,6643534,4387808,16154686,467300,2806,11027796.48
2021-03-24,Punjab,49578016.3,205330,12676,29872980,398890,5123853,3112305,4817,2081300,34464930,21587,4075,2297606,9662055,8249974,8963191,9740325,9632446,1284019,3996722,3299,26820615.37
2021-05-27,Odisha,2331518.07,29695,16626,8699623,9232150,19326335,9694391,2600,4730682,41827249,46558,519,17265252,6428025,5338534,11841516,5589559,7371264,19776054,9075508,2395,25875833.02
2021-03-01,Telangana,25811902.67,174880,1941,19262375,4533834,19781910,13038315,390,6110420,18907345,127320,24098,6123807,1246305,739562,13442273,6483299,4707114,5845608,5853902,2207,33259765.67
2021-03-12,Tamil Nadu,27599558.72,101888,8863,39252541,11281319,24175784,2920747,2472,938035,41024708,58007,5976,10956163,4632191,1106651,6248304,32941,9888689,9724110,10751984,2552,1353451.6
2021-04-24,Andhra Pradesh,26502195.24,36998,2630,7834734,6850689,20325342,91476,2210,5260093,347153,103083,7538,12135672,12710961,2050683,17381813,9729424,9084161,12607552,13232586,3272,6765641.18
2021-05-27,Delhi,3304329.9,108476,2487,26360181,6641447,20003664,18427908,1005,3483035,18917008,135286,28729,5377156,2020333,11891661,4415214,9075726,3620728,7429063,14314517,1569,26006322.13
2021-06-21,Kerala,38740620.51,54837,24326,18624477,7096512,18060686,16674109,4324,3115815,12887054,44342,26418,16536,12935562,1492646,781726,3863956,6416265,6234158,10299747,3503,15229811.18
2021-01-29,India,43432252.83,191629,16079,17672150,9467030,10700021,20068013,1131,7853969,32457963,156885,19882,19305945,6487391,1363790,16129995,3139078,2843507,2021337,16736467,3633,20780918.9
,,20952880.88,49167,,2984753,4537650,18084745,13574044,4555,3075655,16670291,166230,17596,15402509,13166432,4935761,8364823,3455010,1488006,7366524,10383548,2171,1827689.66
2021-02-27,Bihar,17820278.57,114467,21185,14448894,6322687,16773640,10780460,3303,5313310,22651915,178452,26287,7610761,1598284,3135862,1447850,1022410,8518556,17324234,2406263,803,7081925.79
2021-07-31,Andhra Pradesh,21736041.82,153239,26657,7561058,8370641,22810022,10371855,4780,541565,5853590,186633,5744,14861519,11209391,7708016,5327323,10992562,3206128,5402512,13497140,2438,18937913.41
2021-04-28,Telangana,29658260.44,244680,13351,37065835,5276887,12247263,6985171,4396,2912353,24236465,139536,18163,7653708,9465284,1940943,7571385,10520670,9382924,17366270,13940447,675,17386285.72
2021-02-28,Gujarat,7792523.96,142855,18111,38108240,4884055,7624810,3291246,2900,785304,31632774,38260,29361,1676304,9649274,2986534,2069417,8287778,2236525,1925056,768959,1093,14172040.74
2021-07-20,Punjab,11322552.03,34739,13748,7360585,1398766,19711102,10814438,4795,6194142,683048,97098,28814,16426593,989647,11580053,11630112,12947794,1135596,17998127,8402561,1070,10711795.92
2021-04-17,Rajasthan,31139379.95,14356,8873,35504638,4040613,1260595,8236743,3468,3072512,4207252,112968,1629,5926912,2920834,5136635,15030665,12286390,5790507,1942900,15496152,1089,4351295.31
2021-06-24,Uttar Pradesh,47791658.2,80786,29450,17154546,4728230,17437866,4988099,754,4019482,5931463,142365,1068,3759983,329884,3405193,2254995,11888571,1745471,5793730,2212952,842,39742574.94
2021-05-13,Tamil Nadu,112370.79,266420,17648,19136418,3190410,24678785,21161066,4385,6853079,940224,110803,24693,5720442,11984241,2719374,6211215,10044995,9039608,19874721,12830707,214,1488245.06
2021-04-05,Uttar Pradesh,19526320.02,38327,9064,30778850,7718510,22382097,23050580,2072,535450,16828941,43590,8299,6607109,5597625,3466735,15260926,4614461,6046483,13169791,10887723,1351,4627897.73
2021-02-06,Assam,31872713.86,22293,3398,31458563,7328503,19538990,8913507,3616,2385738,24141708,133299,26093,1796446,8422695,11032303,2929968,8984506,9033211,13755307,17099810,211,33029677.85
2021-04-14,Andhra Pradesh,9813117.04,73151,28625,37315901,11781055,4659769,22268678,1732,1854858,60724,121110,23592,1477257,8196746,3475708,123692,3539057,9007024,15663157,130949,3817,1723747.47
2021-07-05,Delhi,27764605.35,74968,18212,17151183,9327092,17329940,4984887,3683,4146769,32570985,8880,17872,3107676,11125002,915201,7823293,12526026,4257339,11161989,585888,182,11590926.98
2021-04-01,Delhi,32388573.29,287739,24798,29950349,2584373,258035,8674819,4902,5542010,17747553,97144,7222,19536804,4113007,7212659,14898377,759619,9561137,977279,8735296,3589,20348248.0
2021-04-28,Assam,41364939.33,54295,26832,17851800,4044968,17202411,20801701,1784,2393935,33473787,176860,23098,16993929,10250118,8475922,5897624,4918318,1638314,9241579,8670659,2393,30677699.64
2021-04-29,Maharashtra,23650042.55,143888,12037,32006296,4728598,10089708,15922032,944,4382700,3357086,120363,1004,13353611,14046311,9369808,13859725,8991,8442431,19309602,15063125,2798,22561044.27
2021-07-11,Assam,17833515.43,165897,18321,12471171,4425476,10864949,3448828,2083,4175785,8887912,42847,19450,1149361,2189448,6106920,8081777,6587781,5033110,18975729,15515487,178,23446077.51
2021-08-06,Karnataka,48505811.25,240494,10736,27341888,8467097,4653047,22528325,1371,3333852,21482071,175115,11667,16455235,6013610,7696629,10715625,10913426,8256937,17842346,5512283,3728,32187501.79
2021-05-20,Odisha,17570413.13,61963,24764,11566234,710437,9057820,20467003,2148,2060633,28588142,46484,25201,6136654,9200983,3235078,5771917,5760118,7808452,9181868,13850754,534,4611745.95
2021-05-06,Andhra Pradesh,18933432.56,205138,8204,8873842,2504146,13116467,18096364,4103,7096511,5355524,170093,20525,12900133,5139216,4550790,11617153,110580,960828,1151698,3899179,3342,19185882.4
2021-04-05,Gujarat,29775342.18,33760,6091,22816799,6018329,647004,19129486,4097,2105971,13726144,53108,17586,8314927,10647749,5137684,7034655,11311862,5205925,6296187,6845418,1829,7668268.91
2021-07-04,India,42592151.89,98304,20050,29914096,10514521,13779742,21326273,3329,4157459,37793394,167201,21350,16166639,6154833,6227952,15822937,4551488,4571906,13227880,5415147,3445,19287448.04
2021-03-22,Maharashtra,9446835.7,216833,25751,6221125,1660867,12347502,22214683,773,1648122,37098334,92815,19196,18166148,7588100,11567062,4724207,1024327,6056199,16887385,7204425,3516,25912961.32
2021-07-07,Bihar,40429347.0,286347,7846,7600369,6591786,9724095,14787701,3520,769499,23448839,187102,7830,4628128,10778695,10519523,2885081,1038093,8082299,17153374,16767893,3569,11889712.54
2021-06-13,Gujarat,19389255.12,33754,24977,7010694,5545768,19870889,6303527,4614,5830580,35794353,141633,18865,2142556,10751883,1344090,13704321,7797541,5717878,7552703,8680799,2697,22078514.66
2021-07-29,West Bengal,8282289.53,164149,9000,7667697,5846689,13226076,5994806,4292,3857386,13543736,93936,4188,19786121,7438731,9506004,2117596,5028429,6949618,3578389,5894394,64,30001397.25
2021-08-11,Rajasthan,38809830.5,34891,2901,36528621,1525562,9787591,2416452,1833,640933,24858441,85325,13902,10310441,14360146,10194242,11346701,1577579,4214320,14131075,17248312,2261,18390787.76
2021-05-08,India,11528877.89,244323,17229,1534779,4502899,6672610,14027200,156,4139150,8075166,174473,13574,4122622,9349271,11871334,8922465,7091514,9485374,18176253,3478938,296,36630424.42
2021-03-03,India,3154252.66,292700,2250,2928635,1685105,15635430,15957447,1301,6920325,21338485,167791,3470,11086464,11150081,3239456,5441220,596463,9408126,11989257,8639126,3334,26070913.27
2021-02-07,India,16250753.44,105402,7785,9689714,5169143,15558614,6584210,3579,2060228,14036311,90481,11446,12884024,4286259,6653628,9198195,2456489,7459226,679027,4750395,3912,14898589.94
2021-02-06,West Bengal,28124076.66,16407,14579,8340453,9738124,3543806,19780487,2430,2386056,7009083,110406,15075,2690445,1865052,3944980,14789316,10145000,5688680,14780467,308467,2532,18426255.82
2021-07-29,Maharashtra,680177.94,195468,28360,14300651,8397400,7457479,16149856,4036,894162,25681913,102903,236,8225492,12568716,8095404,4730816,10780447,196317,3916111,8443215,127,2107671.71
,,12885964.31,75025,,29126309,1321818,7740515,23454820,542,5356758,22183416,109910,6209,10347107,2228102,1690142,17644849,9675834,1304753,370952,8247985,368,2480250.25
2021-01-27,Gujarat,35926716.41,179850,16231,24754531,11936392,19926701,13171398,2843,719300,752555,120972,24178,1029342,2258467,5793745,10419604,7826659,1894269,17885402,12458820,2466,7505126.41
2021-05-14,Kerala,21079117.71,52882,27162,33315862,9476630,14366427,19623799,4435,4632988,5359261,109547,26763,7770700,6898832,10195054,15051413,12670512,9626444,12539896,4538699,957,21167590.92
2021-04-10,Tamil Nadu,8427805.66,176552,13456,20241265,3995050,11913943,13137709,2557,5929763,16529853,64061,8699,13931066,13740299,5944717,12493066,3392073,6536186,3228729,14880103,1534,8461267.96
2021-02-01,West Bengal,20390345.9,148380,18670,32880260,11980357,1724765,20995518,4842,4335811,12733026,73920,11685,15820575,427833,4187343,8222616,775829,9562266,11565002,13780106,199,39542184.43
2021-03-19,Assam,22698508.71,271063,3230,1252694,2843752,16261517,19560299,582,6415380,37872017,90898,24273,12243211,14776529,2143590,1340544,6539092,7952073,15294218,12055600,1300,23494597.66
2021-07-15,Gujarat,48837850.36,289465,21771,4966346,7147089,15996495,21982627,766,3275867,24289605,168752,15339,18125130,14861187,420643,17342774,6096012,8442783,9947374,13319928,10,6389179.74
2021-05-25,Tamil Nadu,10032368.27,34501,1476,29897319,7764288,20734246,22898391,4746,345947,34221832,103276,7399,1172242,10436581,2915671,7461102,1688650,5803451,19512239,3284600,2851,18032269.38
2021-06-24,Uttar Pradesh,45430489.12,164006,15086,20192947,10632341,4546544,20000083,4150,419182,18340606,141591,11534,3642494,6105120,121415,908915,3193804,9824962,3460329,17724726,1492,34210432.31
2021-02-05,India,38023770.78,141,12040,21993759,6136954,1428991,12675893,2392,3862001,34487604,16409,22196,17823289,13044114,1011331,5839972,1166838,2774483,17086907,1061749,3010,28976053.18
2021-01-29,Tamil Nadu,49867491.17,102409,6124,16152821,11021648,2658078,16248451,3018,7765561,12530814,93420,3144,18818932,3486172,7544247,13343535,9678174,4974100,16333544,5823401,2400,17602351.49
2021-02-26,Punjab,18928825.46,222517,29553,9217610,5608418,7254640,13793107,154,2697950,6966004,133376,20721,11155890,13318436,6430908,3951445,8075474,5879400,8725274,4094230,2210,23380428.98
2021-04-08,Bihar,19116745.75,103181,967,6635424,4726168,6982756,1577029,4622,7864713,17135888,39949,332,16890334,5735056,10863011,3844034,12280195,1150659,2393511,13431593,2939,24029976.35
2021-02-16,Maharashtra,14112893.68,295980,1913,33481027,8057915,753430,17364737,2185,7792252,22259175,16940,6687,11078605,14883121,6040917,14897396,5363669,954591,6688623,1247619,3314,39272246.08
2021-01-29,Karnataka,38678316.12,181062,28605,26165318,484187,21534314,12071193,2206,4051028,20445706,47120,22254,13599655,7573273,9190795,3457475,5293229,9053859,12427830,3601551,1726,36644596.38
2021-02-10,Maharashtra,10258119.54,119844,147,15432468,2728155,16371050,9508737,3133,5980612,15649150,71750,28253,6777008,4730599,930846,10397547,8857105,3644512,15669086,12386625,1626,32487353.62
2021-04-13,India,13409641.7,281866,7926,16292333,1512060,16402776,20666832,2500,2057245,15851920,190166,9207,12845154,12737188,7854197,820801,2739400,9643965,488384,4439905,420,37603378.55
2021-07-12,Odisha,3431309.57,30745,26787,20963702,739880,19256856,21840427,4402,6366459,15945924,127222,3120,1114881,12091955,8324966,14698859,6992755,7909439,19008988,12342504,2802,12226172.24
2021-04-01,Uttar Pradesh,37614265.61,158012,4387,3629410,5021063,17056800,4515800,1723,696843,33445752,18569,23700,15858847,1240054,10056481,4457118,604497,4089524,1311609,6294121,3981,14836165.48
2021-06-09,Tamil Nadu,11950369.01,232674,7412,35248899,3452670,11955728,2823345,2258,5106483,22607959,125245,12792,14634896,14691720,4001849,10157153,1192752,1233703,16719337,11917626,2861,27019910.48
2021-06-14,Odisha,42357221.04,114199,24614,3922032,11237242,19860355,9367721,4213,4046665,25537163,82643,3569,1027585,8020829,8422938,10844176,9816957,9482895,18846448,3574233,3057,32071320.65
2021-04-26,Maharashtra,2460089.76,193038,27583,31752114,10099613,14742811,17550949,2505,7054784,26440961,115704,15513,8283898,1086210,324226,8503589,9547750,841568,17992203,4190668,3940,14875125.55
2021-08-06,Maharashtra,35873675.97,226675,7664,13750575,1474851,16376190,13280625,2894,2531122,1396142,53058,6410,7278654,8186563,7991396,7425626,9293304,7588689,459101,1409112,799,16082348.35
,,12390919.03,285516,,27359977,11040839,13497060,15772931,75,4320808,30676355,198047,8731,6426624,271009,1943647,13036245,8107089,8984590,14262694,5807439,3993,35313897.56
2021-05-17,Bihar,8120719.26,243991,4742,20370508,9806463,14638111,7351697,4140,2452847,39869879,153918,23221,15106194,11111937,2303416,12071471,7414141,2753384,5991020,3783860,3776,4927871.87
2021-06-15,Tamil Nadu,36657504.1,71358,24364,4730593,11000495,16730491,15366152,262,2956547,39535243,78813,8708,19417447,14349150,11762157,10709125,6559573,5050539,11280465,3794140,536,7134796.41
2021-07-28,Assam,25069523.8,181184,26998,35383819,8282578,14109906,20624772,730,7181893,6788080,39917,15521,15360800,12453462,7227295,3997603,8658818,8065930,13686984,16051866,3411,8905518.11
2021-07-19,Punjab,8697085.47,233658,13370,20518169,1633224,24530315,23611504,1642,3090398,28774076,119,21115,19417797,7224059,153796,17005574,5319770,3688716,3859060,10643556,1912,26520098.71
2021-04-27,India,12890085.05,197654,13371,28963232,742463,12680062,16797037,3947,2191783,1156613,130491,26130,15818048,12699675,10742484,7922665,3702110,6470941,17839655,5501493,3583,28664051.56
2021-04-24,Gujarat,14536300.93,13282,20409,27443745,1036388,11066345,15873853,4717,4433713,17954298,63824,17935,15867688,3468785,10566072,3408945,11714949,715696,14246341,14559344,1995,32556517.82
2021-07-30,Rajasthan,15323656.99,43070,27976,13712920,9535637,22403975,4261754,3936,4923713,39030136,182407,2810,2941767,12737850,5953402,8602118,11636941,6945986,1498725,9022320,3017,30290466.97
2021-07-08,Odisha,43123752.98,218883,7991,4239363,3819997,9725067,3534801,1883,134287,18848719,85836,24135,11009879,154396,10843873,3206183,11158169,7393917,15300662,6862629,9,2611409.07
2021-05-13,Delhi,27774801.84,197213,2676,7040750,9730917,2478834,8024377,3225,6990923,7719258,193888,16562,13909962,7772850,11904235,10309616,10677418,6379994,13794239,14112631,1773,6593170.91
2021-07-02,Rajasthan,37190242.25,106293,12134,37452369,6024840,3906114,15023525,497,2775397,6336956,118053,11686,8920916,9871254,3086381,7763790,1902136,4189778,909525,17960139,2093,14516885.04
2021-07-13,India,17926509.21,137568,28155,5393495,5415198,6156590,3336406,2897,649148,34268369,67167,19682,9867348,13391725,7485679,2629043,10094629,6608024,19358021,706275,3398,13996939.45
