Sno,State / Union Territory,Population,Rural population,Urban population,Area,Density,Gender Ratio
283,Haryana,189434874,18659848,10958654,135192 km2,828/km2,992
692,Maharashtra,36963290,41235167,52758949,191791 km2,11297/km2,940
714,Karnataka,67539373,11724445,13915868,342239 km2,555/km2,987
664,Jharkhand,74948874,14833661,28886874,342239 km2,1102/km2,877
303,Bihar,31931595,40451815,13251302,342239 km2,828/km2,870
717,Telangana,68160787,99588639,55603176,3702 km2,414/km2,1012
911,Kerala,154747838,10486323,44352735,94163 km2,828/km2,1045
40,Maharashtra,63625075,1431586,38885915,342239 km2,382/km2,934
539,Gujarat,33920351,105023618,33148910,94163 km2,828/km2,987
221,Delhi,186586713,67900252,38752358,83743 km2,382/km2,873
599,Delhi,99167110,116244125,3713156,3702 km2,414/km2,960
29,Haryana,124830972,79502881,38320215,94163 km2,1102/km2,875
102,Rajasthan,40305722,58633647,7092829,83743 km2,828/km2,1025
678,Jammu and Kashmir,57858747,84841051,603218,342239 km2,414/km2,991
767,Punjab,109251035,25692015,38652698,162968 km2,382/km2,988
426,Gujarat,20094619,62094857,48724726,342239 km2,828/km2,858
477,Andhra Pradesh,179544172,144460105,9888566,94163 km2,555/km2,965
936,Telangana,36922417,32902349,14365974,308350 km2,414/km2,975
782,Uttar Pradesh,76310602,133149363,52834831,94163 km2,382/km2,977
3,Gujarat,91284838,61252276,22053680,162968 km2,11297/km2,1025
453,Chhattisgarh,81651559,30810654,32994321,83743 km2,414/km2,900
4,Uttar Pradesh,72105584,13544309,7404436,240928 km2,414/km2,886
56,Chhattisgarh,198132937,145114729,8412320,191791 km2,382/km2,968
37,Chhattisgarh,167121221,102468330,57417006,135192 km2,382/km2,992
283,Haryana,197036102,111800989,16398468,3702 km2,414/km2,950
340,Maharashtra,66618041,1854631,41813671,308350 km2,382/km2,1060
806,Gujarat,15317981,40845578,41153359,162968 km2,382/km2,1017
775,Andhra Pradesh,135698609,96313324,12736867,308350 km2,1102/km2,873
935,West Bengal,87879543,6240550,33338287,308350 km2,1102/km2,1057
738,Uttar Pradesh,19165912,145358111,9030774,342239 km2,828/km2,1023
91,Assam,15184467,45877681,20488630,135192 km2,11297/km2,1055
295,,50096454,14530792,30204472,,,944
425,,178453827,13423276,18725271,,,928
248,Assam,3617086,75267939,3300147,191791 km2,828/km2,941
728,Bihar,169428549,93966791,48085316,308350 km2,828/km2,923
998,Andhra Pradesh,106165773,126494052,14421631,3702 km2,382/km2,872
185,Uttar Pradesh,121960719,93917412,7283179,3702 km2,1102/km2,1060
841,West Bengal,81893501,10933278,42271761,191791 km2,11297/km2,987
712,Uttar Pradesh,68038185,40152228,28245804,191791 km2,1102/km2,911
257,Telangana,72803526,11789555,55161524,308350 km2,828/km2,967
502,Kerala,163099405,51094108,2232495,240928 km2,11297/km2,911
860,Bihar,41499350,64743910,57249486,135192 km2,1102/km2,1045
663,Assam,172326226,63881105,36822804,94163 km2,11297/km2,1056
714,Kerala,80520532,17370746,46779984,94163 km2,11297/km2,1075
164,West Bengal,30530157,106802919,34244538,94163 km2,1102/km2,1027
572,Gujarat,28723398,64618098,31561975,83743 km2,1102/km2,922
242,Assam,145335285,126508143,48262527,162968 km2,555/km2,942
315,Telangana,109550013,45103384,7199157,135192 km2,414/km2,857
688,Telangana,83557105,20926182,41877483,83743 km2,555/km2,876
20,Jammu and Kashmir,90677304,47845469,45506469,342239 km2,1102/km2,870
552,Uttar Pradesh,98959865,135718268,40849612,94163 km2,414/km2,1036
934,,123949874,8110515,30379211,,,856
808,Maharashtra,23187648,56704428,53508927,94163 km2,11297/km2,957
212,Assam,29152188,38508721,33390606,135192 km2,11297/km2,995
112,Punjab,49002466,112943930,18378801,135192 km2,1102/km2,902
916,Delhi,177906513,113443808,49276912,342239 km2,1102/km2,1037
157,Delhi,141373106,59580061,18636661,342239 km2,828/km2,988
776,Tamil Nadu,162016668,56323219,6559545,342239 km2,1102/km2,1022
909,Haryana,122069115,96791602,4176147,162968 km2,1102/km2,965
625,Gujarat,64534355,63606069,35764370,94163 km2,555/km2,898
579,Jammu and Kashmir,132237285,124767801,41872624,162968 km2,555/km2,868
331,Haryana,171267485,45484342,6633625,162968 km2,555/km2,929
538,Telangana,13069318,97418176,30502957,94163 km2,828/km2,1070
513,Chhattisgarh,75479682,100204241,58207743,83743 km2,555/km2,921
894,Tamil Nadu,151302120,81208149,10351165,162968 km2,828/km2,1033
370,Jharkhand,123730428,48672153,11622922,135192 km2,828/km2,995
402,Karnataka,22241884,138351535,43561173,240928 km2,11297/km2,1040
261,Chhattisgarh,93944708,112948140,57043958,3702 km2,555/km2,909
163,West Bengal,29104777,39121275,5051881,240928 km2,11297/km2,1012
60,Haryana,143711207,130038207,42305539,342239 km2,382/km2,970
759,Odisha,72286536,48553351,24432558,135192 km2,1102/km2,948
993,Andhra Pradesh,167634765,65330499,14572554,135192 km2,382/km2,1028
584,Rajasthan,3719609,116701787,28480295,342239 km2,382/km2,938
909,Odisha,146975539,31454465,2501500,342239 km2,414/km2,898
22,Maharashtra,127607711,98518687,44400594,240928 km2,828/km2,868
909,Kerala,139520859,66008947,35718777,3702 km2,1102/km2,974
488,Maharashtra,137873359,128192799,58576888,162968 km2,828/km2,1056
809,Uttar Pradesh,84019294,13197041,16050977,83743 km2,414/km2,950
983,Andhra Pradesh,140916360,95497062,57675099,191791 km2,1102/km2,868
850,Delhi,77715608,60786148,57534881,191791 km2,1102/km2,887
537,Delhi,82989807,25051215,10655639,162968 km2,555/km2,928
80,Jharkhand,29115866,79069676,55644732,83743 km2,828/km2,912
645,Odisha,100753997,16096390,29214843,308350 km2,414/km2,1052
517,Chhattisgarh,104152547,49474371,55380176,240928 km2,555/km2,876
509,Andhra Pradesh,192579638,119716394,197241,135192 km2,414/km2,944
428,Jharkhand,91083231,64377046,11052868,191791 km2,11297/km2,1063
917,Jharkhand,84718708,27845433,18879196,94163 km2,414/km2,1045
467,Bihar,166554872,54916142,42456624,94163 km2,828/km2,1084
907,Punjab,183809560,64952852,30872740,342239 km2,1102/km2,885
471,Andhra Pradesh,169138144,76535733,58264481,135192 km2,828/km2,920
892,Karnataka,73382964,10995262,47477193,191791 km2,414/km2,955
969,,57997150,30364964,40747262,,,1063
66,Bihar,86168806,136697466,13616484,342239 km2,11297/km2,890
100,Andhra Pradesh,113857355,27159035,49789643,162968 km2,1102/km2,1048
371,Punjab,171925576,113177461,23655365,191791 km2,382/km2,858
916,Madhya Pradesh,155780389,11136414,34189108,135192 km2,382/km2,904
803,Chhattisgarh,73695214,142181131,35915596,308350 km2,11297/km2,1047
77,Jharkhand,64770885,143674518,53132291,94163 km2,555/km2,938
164,Madhya Pradesh,21615661,47807001,49534688,135192 km2,11297/km2,933
361,Haryana,107689798,89536986,11921969,94163 km2,11297/km2,1063
663,Punjab,62934313,36908597,41951681,162968 km2,555/km2,1001
512,Andhra Pradesh,84327968,66785429,53883015,342239 km2,11297/km2,950
312,Odisha,106185575,106671544,46033240,94163 km2,11297/km2,1075
368,Bihar,74257119,25709975,31754375,94163 km2,1102/km2,981
38,,65430188,102755889,31353467,,,854
420,Assam,26920380,94084811,41689897,240928 km2,1102/km2,1033
940,Telangana,146123683,43040272,11062006,3702 km2,382/km2,1065
257,Kerala,33411363,11603821,50811379,162968 km2,382/km2,983
980,Jharkhand,199060911,103624817,53924686,191791 km2,382/km2,936
223,Bihar,148296975,49484216,37774388,191791 km2,382/km2,1031
46,Punjab,76138461,127814156,31033084,83743 km2,382/km2,881
913,Odisha,47543473,128380862,46797528,162968 km2,414/km2,929
888,Assam,194456121,40343622,5756647,240928 km2,828/km2,960
20,Tamil Nadu,31694681,71407382,23708979,83743 km2,555/km2,966
395,Kerala,87794048,87592970,27820867,240928 km2,1102/km2,855
775,Bihar,64726678,28535917,18515046,342239 km2,555/km2,1058
970,Kerala,63523152,61543279,36188920,94163 km2,555/km2,1049
275,Kerala,153657102,2562634,39535128,135192 km2,555/km2,1066
652,West Bengal,83782029,98054443,18811199,342239 km2,11297/km2,1067
144,Jammu and Kashmir,18162645,35288724,1601776,83743 km2,1102/km2,1066
428,Maharashtra,21740727,85686524,5021304,135192 km2,555/km2,1026
212,Kerala,11138008,95286652,11700320,135192 km2,11297/km2,958
1,Bihar,146286401,144157685,16992340,162968 km2,382/km2,853
354,Gujarat,15958784,16264755,18933108,240928 km2,555/km2,948
479,Odisha,187067644,13292319,55382883,240928 km2,828/km2,1078
122,Jharkhand,184044359,115516088,36592344,135192 km2,382/km2,900
357,Delhi,21626400,94136128,42832202,308350 km2,828/km2,932
337,West Bengal,47843770,146605490,438759,342239 km2,11297/km2,1077
464,Gujarat,187648932,85347391,5674949,162968 km2,11297/km2,986
667,Assam,189407875,60200019,33073892,308350 km2,414/km2,949
631,Chhattisgarh,85691746,96116572,9327903,191791 km2,382/km2,1069
478,Jammu and Kashmir,158193263,102644220,46258991,308350 km2,1102/km2,1056
489,Tamil Nadu,43847817,52355399,11658989,135192 km2,828/km2,853
919,Chhattisgarh,34868476,71446246,7411342,342239 km2,555/km2,858
997,Odisha,92444082,25636048,57678228,240928 km2,1102/km2,1053
766,Madhya Pradesh,160110749,6729561,51440707,240928 km2,555/km2,850
405,Gujarat,91352112,29772107,17464717,83743 km2,1102/km2,908
470,Assam,89032131,149790623,49149030,191791 km2,555/km2,1043
792,Maharashtra,87428709,65465764,52162736,94163 km2,414/km2,885
250,Rajasthan,10414192,142909129,33378102,162968 km2,382/km2,966
995,Rajasthan,143309392,111504374,11804690,3702 km2,414/km2,1018
417,West Bengal,67239154,92559630,46282882,94163 km2,414/km2,876
86,Bihar,78919911,65477451,39700680,3702 km2,1102/km2,994
977,Jharkhand,12088420,126410917,31163884,162968 km2,555/km2,983
937,Bihar,162157188,119618788,58800511,240928 km2,828/km2,1041
515,Telangana,116733568,84283855,20049912,342239 km2,1102/km2,1014
548,West Bengal,91871598,37724063,29096318,83743 km2,1102/km2,938
662,Tamil Nadu,57471455,9106476,5732725,162968 km2,11297/km2,905
744,Bihar,58192774,72411327,54431690,83743 km2,11297/km2,983
641,Kerala,58529382,123657989,36348361,83743 km2,11297/km2,928
413,Uttar Pradesh,68783858,54758529,24033738,94163 km2,828/km2,1072
962,Haryana,138416903,39512784,14013213,162968 km2,414/km2,1040
182,Delhi,109842060,36505957,20716337,3702 km2,828/km2,852
779,Punjab,172983269,92551630,54200959,342239 km2,1102/km2,913
