Date,State,TotalSamples,Negative,Positive
2020-11-09,Punjab,1444844.33,13696881,3404440
2021-01-15,Rajasthan,33861003.57,4658363,306008
2020-05-01,Gujarat,9230933.46,10482013,2975153
2020-07-10,Punjab,24394262.33,25449153,5144164
2021-04-05,Rajasthan,7419416.77,26173865,1465379
2021-06-29,Assam,5593219.69,23962215,1947895
2020-05-29,Uttar Pradesh,32093985.89,15776017,832810
2020-12-28,Maharashtra,37183909.12,23808386,4039666
2020-12-29,Delhi,5470677.09,26115502,5665599
2021-07-20,Uttar Pradesh,20947303.55,19315035,4883913
2020-07-26,Kerala,16098060.36,27920667,2103415
2021-07-25,Uttar Pradesh,3846926.51,20261080,1041143
2021-07-31,Punjab,19233912.48,32102412,4329964
2020-08-07,Karnataka,13650805.45,23440212,916808
2020-12-09,Delhi,21713080.98,25961833,3321447
2021-02-13,West Bengal,19698990.67,15054528,4451923
2021-04-28,Assam,11401691.34,3589702,3263374
2021-05-02,Maharashtra,29531804.68,29358657,1669051
,,18962010.29,15517517,1563768
2020-12-07,Uttar Pradesh,32764516.01,9436813,214250
2021-06-08,Punjab,15364477.56,20306193,4979611
2020-04-26,Maharashtra,13220215.29,3365669,2111636
2020-10-16,Andhra Pradesh,7984942.75,8690824,1713994
2021-06-11,Delhi,20259298.19,19508467,4334447
2021-07-16,Andhra Pradesh,8999589.0,9741543,1783332
2021-07-15,Punjab,22330865.27,935438,2969833
2020-07-11,West Bengal,28582285.89,14472459,931632
2021-01-24,Tamil Nadu,15188400.68,21360127,2458843
2021-07-09,Tamil Nadu,22184321.7,22822535,110673
2020-05-25,Assam,9111396.18,12358463,5044222
2021-03-07,Tamil Nadu,13377895.78,33826876,3151037
2020-04-30,Odisha,16823326.08,9244209,4165614
2021-08-10,Bihar,5048346.08,33923238,5891875
2021-02-27,Telangana,12632485.95,14538538,3555215
2021-03-24,Uttar Pradesh,27344866.2,23244531,5035305
,,10411408.23,4124871,783453
2020-04-04,Karnataka,10075440.75,26617113,1228104
2021-03-16,Punjab,38983349.09,32336120,5064841
2020-11-24,Assam,7084857.29,28506966,1779796
2021-05-24,Telangana,10058408.93,31399420,1471958
2020-08-15,Andhra Pradesh,1244110.76,4294407,652121
2021-01-12,Delhi,542874.61,20341430,2681188
2021-02-25,Gujarat,11734087.39,2399239,3515207
2020-11-25,Gujarat,25948344.02,19222204,5448655
2021-03-03,Telangana,3827475.29,30357171,2977637
2021-07-31,Tamil Nadu,21363909.98,24741884,471564
2021-05-25,Telangana,14739368.93,22226492,1805777
2020-04-17,Telangana,11075759.38,15974542,2596787
2020-11-14,West Bengal,38369992.53,28693535,1337093
2021-01-01,Rajasthan,18267162.5,19435853,903477
2021-04-10,Delhi,34115312.2,10354790,3984163
2020-08-10,Delhi,5780767.74,13970921,2116077
2020-07-28,Maharashtra,4932903.48,16810795,3047085
2021-01-19,Andhra Pradesh,3208376.35,24315074,1844265
2021-07-05,Gujarat,26339134.94,10450314,1866273
2020-10-04,Tamil Nadu,30566801.57,11840819,2402699
2021-07-01,Tamil Nadu,33467739.69,28483220,449813
2020-09-26,Bihar,30046999.25,7204866,322737
2020-12-08,Maharashtra,7709812.24,152979,166210
2020-12-18,Odisha,22262980.73,12860870,2645458
2020-10-05,Andhra Pradesh,32212864.22,3700768,172236
2020-09-16,Maharashtra,23790817.08,31384912,4758826
2021-06-09,Bihar,7810735.99,26216581,3354243
2021-04-19,Andhra Pradesh,23268455.43,33148338,5095038
2020-04-19,Punjab,37257990.58,13859664,184670
2020-04-26,Telangana,37404261.1,21122064,4559111
2020-05-01,West Bengal,24633533.28,29808438,146661
2020-06-04,Rajasthan,37115568.31,23848210,5946504
2021-06-14,Kerala,33808267.75,7906766,5154617
2020-04-11,Kerala,7952188.94,30041297,1131110
2020-12-01,Bihar,18818998.47,14830894,4288175
2020-06-08,Assam,33428194.54,549683,2076037
