extract_date,department_location_key,parent_revenue_location_name,revenue_location_name,unit_grouping,department_name,department_level_of_care_group,extract_hour,extract_minute,valid_from_instant,valid_to_instant,is_topofhour,staffed_beds,open_beds,occupied_beds,unavailable_beds,staffed_occupancy_percent,number_incoming,number_outgoing,number_expected_open,is_current,licensed_beds,physical_beds,is_endofday,ETLInsertedDateTime
2025-05-21,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-21 23:00:00,2025-05-22 00:00:00,1,9,5,4,3,44,5,6,6,0,12,12,1,
2025-05-22,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-22 23:00:00,2025-05-23 00:00:00,1,8,4,4,4,50,4,4,4,0,12,12,1,
2025-05-23,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-23 23:00:00,2025-05-24 00:00:00,1,8,5,3,3,38,2,1,4,0,12,12,1,
2025-05-24,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-24 23:00:00,2025-05-25 00:00:00,1,10,6,4,1,40,1,5,10,0,12,12,1,
2025-05-25,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-25 23:00:00,2025-05-26 00:00:00,1,11,6,5,1,45,0,3,9,0,12,12,1,
2025-05-26,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-26 23:00:00,2025-05-27 00:00:00,1,12,6,6,0,50,4,1,3,0,12,12,1,
2025-05-27,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-27 23:00:00,2025-05-28 00:00:00,1,9,4,5,3,56,1,2,5,0,12,12,1,
2025-05-28,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-28 23:00:00,2025-05-29 00:00:00,1,11,6,5,0,45,4,6,8,0,12,12,1,
2025-05-29,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-29 23:00:00,2025-05-30 00:00:00,1,8,4,4,3,50,5,0,0,0,12,12,1,
2025-05-30,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-30 23:00:00,2025-05-31 00:00:00,1,9,5,4,3,44,5,4,4,0,12,12,1,
2025-05-31,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-05-31 23:00:00,2025-06-01 00:00:00,1,10,5,5,1,50,1,5,9,0,12,12,1,
2025-06-01,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-01 23:00:00,2025-06-02 00:00:00,1,10,5,5,1,50,6,0,0,0,12,12,1,
2025-06-02,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-02 23:00:00,2025-06-03 00:00:00,1,11,6,5,1,45,0,2,8,0,12,12,1,
2025-06-03,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-03 23:00:00,2025-06-04 00:00:00,1,10,6,4,1,40,4,5,7,0,12,12,1,
2025-06-04,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-04 23:00:00,2025-06-05 00:00:00,1,8,5,3,4,38,4,0,1,0,12,12,1,
2025-06-05,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-05 23:00:00,2025-06-06 00:00:00,1,12,6,6,0,50,1,0,5,0,12,12,1,
2025-06-06,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-06 23:00:00,2025-06-07 00:00:00,1,8,4,4,4,50,5,1,0,0,12,12,1,
2025-06-07,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-07 23:00:00,2025-06-08 00:00:00,1,10,5,5,1,50,4,5,6,0,12,12,1,
2025-06-08,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-08 23:00:00,2025-06-09 00:00:00,1,9,4,5,3,56,3,0,1,0,12,12,1,
2025-06-09,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-09 23:00:00,2025-06-10 00:00:00,1,10,5,5,1,50,6,5,4,0,12,12,1,
2025-06-10,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-10 23:00:00,2025-06-11 00:00:00,1,9,5,4,3,44,3,6,8,0,12,12,1,
2025-06-11,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-11 23:00:00,2025-06-12 00:00:00,1,11,7,4,0,36,2,2,7,0,12,12,1,
2025-06-12,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-12 23:00:00,2025-06-13 00:00:00,1,9,5,4,3,44,3,2,4,0,12,12,1,
2025-06-13,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-13 23:00:00,2025-06-14 00:00:00,1,8,4,4,3,50,2,5,7,0,12,12,1,
2025-06-14,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-14 23:00:00,2025-06-15 00:00:00,1,12,7,5,0,42,0,2,9,0,12,12,1,
2025-06-15,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-15 23:00:00,2025-06-16 00:00:00,1,10,6,4,1,40,2,5,9,0,12,12,1,
2025-06-16,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-16 23:00:00,2025-06-17 00:00:00,1,11,6,5,1,45,3,4,7,0,12,12,1,
2025-06-17,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-17 23:00:00,2025-06-18 00:00:00,1,8,5,3,4,38,4,6,7,0,12,12,1,
2025-06-18,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-18 23:00:00,2025-06-19 00:00:00,1,9,5,4,3,44,5,2,2,0,12,12,1,
2025-06-19,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-19 23:00:00,2025-06-20 00:00:00,1,8,4,4,3,50,4,2,2,0,12,12,1,
2025-06-20,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-20 23:00:00,2025-06-21 00:00:00,1,10,6,4,1,40,4,1,3,0,12,12,1,
2025-06-21,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-21 23:00:00,2025-06-22 00:00:00,1,11,6,5,1,45,4,4,6,0,12,12,1,
2025-06-22,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-22 23:00:00,2025-06-23 00:00:00,1,12,7,5,0,42,2,1,6,0,12,12,1,
2025-06-23,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-23 23:00:00,2025-06-24 00:00:00,1,12,7,5,0,42,3,3,7,0,12,12,1,
2025-06-24,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-24 23:00:00,2025-06-25 00:00:00,1,9,6,3,3,33,5,0,1,0,12,12,1,
2025-06-25,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-25 23:00:00,2025-06-26 00:00:00,1,12,8,4,0,33,5,2,5,0,12,12,1,
2025-06-26,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-26 23:00:00,2025-06-27 00:00:00,1,9,6,3,3,33,1,3,8,0,12,12,1,
2025-06-27,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-27 23:00:00,2025-06-28 00:00:00,1,8,5,3,4,38,5,5,5,0,12,12,1,
2025-06-28,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-28 23:00:00,2025-06-29 00:00:00,1,11,8,3,1,27,6,6,8,0,12,12,1,
2025-06-29,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-29 23:00:00,2025-06-30 00:00:00,1,8,5,3,4,38,1,6,10,0,12,12,1,
2025-06-30,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-06-30 23:00:00,2025-07-01 00:00:00,1,12,7,5,0,42,6,0,1,0,12,12,1,
2025-07-01,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-01 23:00:00,2025-07-02 00:00:00,1,11,6,5,0,45,6,3,3,0,12,12,1,
2025-07-02,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-02 23:00:00,2025-07-03 00:00:00,1,12,7,5,0,42,1,5,11,0,12,12,1,
2025-07-03,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-03 23:00:00,2025-07-04 00:00:00,1,11,7,4,1,36,6,5,6,0,12,12,1,
2025-07-04,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-04 23:00:00,2025-07-05 00:00:00,1,12,7,5,0,42,2,3,8,0,12,12,1,
2025-07-05,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-05 23:00:00,2025-07-06 00:00:00,1,10,6,4,1,40,2,4,8,0,12,12,1,
2025-07-06,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-06 23:00:00,2025-07-07 00:00:00,1,9,6,3,3,33,5,1,2,0,12,12,1,
2025-07-07,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-07 23:00:00,2025-07-08 00:00:00,1,11,8,3,0,27,3,0,5,0,12,12,1,
2025-07-08,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-08 23:00:00,2025-07-09 00:00:00,1,11,8,3,1,27,6,6,8,0,12,12,1,
2025-07-09,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-09 23:00:00,2025-07-10 00:00:00,1,11,8,3,0,27,2,6,12,0,12,12,1,
2025-07-10,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-10 23:00:00,2025-07-11 00:00:00,1,11,8,3,1,27,3,1,6,0,12,12,1,
2025-07-11,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-11 23:00:00,2025-07-12 00:00:00,1,11,8,3,0,27,5,5,8,0,12,12,1,
2025-07-12,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-12 23:00:00,2025-07-13 00:00:00,1,9,6,3,3,33,4,4,6,0,12,12,1,
2025-07-13,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-13 23:00:00,2025-07-14 00:00:00,1,11,8,3,1,27,0,5,13,0,12,12,1,
2025-07-14,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-14 23:00:00,2025-07-15 00:00:00,1,11,8,3,0,27,3,2,7,0,12,12,1,
2025-07-15,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-15 23:00:00,2025-07-16 00:00:00,1,10,7,3,1,30,2,6,11,0,12,12,1,
2025-07-16,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-16 23:00:00,2025-07-17 00:00:00,1,11,8,3,1,27,3,0,5,0,12,12,1,
2025-07-17,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-17 23:00:00,2025-07-18 00:00:00,1,8,5,3,3,38,1,5,9,0,12,12,1,
2025-07-18,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-18 23:00:00,2025-07-19 00:00:00,1,8,5,3,4,38,1,6,10,0,12,12,1,
2025-07-19,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-19 23:00:00,2025-07-20 00:00:00,1,9,7,2,2,22,5,0,2,0,12,12,1,
2025-07-20,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-20 23:00:00,2025-07-21 00:00:00,1,9,6,3,2,33,6,2,2,0,12,12,1,
2025-07-21,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-21 23:00:00,2025-07-22 00:00:00,1,12,8,4,0,33,6,6,8,0,12,12,1,
2025-07-22,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-22 23:00:00,2025-07-23 00:00:00,1,10,7,3,2,30,2,4,9,0,12,12,1,
2025-07-23,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-23 23:00:00,2025-07-24 00:00:00,1,11,8,3,1,27,0,4,12,0,12,12,1,
2025-07-24,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-24 23:00:00,2025-07-25 00:00:00,1,9,6,3,2,33,6,5,5,0,12,12,1,
2025-07-25,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-25 23:00:00,2025-07-26 00:00:00,1,8,5,3,4,38,2,4,7,0,12,12,1,
2025-07-26,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-26 23:00:00,2025-07-27 00:00:00,1,10,7,3,1,30,0,6,13,0,12,12,1,
2025-07-27,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-27 23:00:00,2025-07-28 00:00:00,1,11,8,3,0,27,5,6,9,0,12,12,1,
2025-07-28,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-28 23:00:00,2025-07-29 00:00:00,1,9,6,3,2,33,4,6,8,0,12,12,1,
2025-07-29,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-29 23:00:00,2025-07-30 00:00:00,1,11,7,4,0,36,2,6,11,0,12,12,1,
2025-07-30,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-30 23:00:00,2025-07-31 00:00:00,1,8,6,2,3,25,1,6,11,0,12,12,1,
2025-07-31,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-07-31 23:00:00,2025-08-01 00:00:00,1,12,8,4,0,33,0,3,11,0,12,12,1,
2025-08-01,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-01 23:00:00,2025-08-02 00:00:00,1,9,6,3,2,33,6,2,2,0,12,12,1,
2025-08-02,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-02 23:00:00,2025-08-03 00:00:00,1,12,8,4,0,33,4,0,4,0,12,12,1,
2025-08-03,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-03 23:00:00,2025-08-04 00:00:00,1,9,6,3,2,33,3,4,7,0,12,12,1,
2025-08-04,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-04 23:00:00,2025-08-05 00:00:00,1,11,7,4,0,36,3,6,10,0,12,12,1,
2025-08-05,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-05 23:00:00,2025-08-06 00:00:00,1,10,7,3,2,30,2,5,10,0,12,12,1,
2025-08-06,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-06 23:00:00,2025-08-07 00:00:00,1,11,7,4,0,36,3,5,9,0,12,12,1,
2025-08-07,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-07 23:00:00,2025-08-08 00:00:00,1,10,6,4,1,40,2,2,6,0,12,12,1,
2025-08-08,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-08 23:00:00,2025-08-09 00:00:00,1,9,6,3,3,33,1,1,6,0,12,12,1,
2025-08-09,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-09 23:00:00,2025-08-10 00:00:00,1,10,6,4,1,40,0,6,12,0,12,12,1,
2025-08-10,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-10 23:00:00,2025-08-11 00:00:00,1,9,6,3,2,33,0,5,11,0,12,12,1,
2025-08-11,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-11 23:00:00,2025-08-12 00:00:00,1,10,7,3,2,30,4,2,5,0,12,12,1,
2025-08-12,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-12 23:00:00,2025-08-13 00:00:00,1,9,6,3,2,33,0,6,12,0,12,12,1,
2025-08-13,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-13 23:00:00,2025-08-14 00:00:00,1,10,7,3,1,30,2,1,6,0,12,12,1,
2025-08-14,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-14 23:00:00,2025-08-15 00:00:00,1,10,6,4,1,40,0,6,12,0,12,12,1,
2025-08-15,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-15 23:00:00,2025-08-16 00:00:00,1,11,8,3,1,27,1,1,8,0,12,12,1,
2025-08-16,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-16 23:00:00,2025-08-17 00:00:00,1,10,7,3,2,30,0,4,11,0,12,12,1,
2025-08-17,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-17 23:00:00,2025-08-18 00:00:00,1,12,8,4,0,33,6,4,6,0,12,12,1,
2025-08-18,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-18 23:00:00,2025-08-19 00:00:00,1,11,8,3,0,27,2,4,10,0,12,12,1,
2025-08-19,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-19 23:00:00,2025-08-20 00:00:00,1,12,7,5,0,42,6,1,2,0,12,12,1,
2025-08-20,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-20 23:00:00,2025-08-21 00:00:00,1,10,6,4,2,40,1,1,6,0,12,12,1,
2025-08-21,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-21 23:00:00,2025-08-22 00:00:00,1,9,6,3,2,33,5,4,5,0,12,12,1,
2025-08-22,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-22 23:00:00,2025-08-23 00:00:00,1,8,5,3,3,38,5,6,6,0,12,12,1,
2025-08-23,100004,BLUE RIDGE HOSPITAL,BLUE RIDGE HOSPITAL,Med/Surg,4 WEST MED SURG,Acute Care,23,0,2025-08-23 23:00:00,2025-08-24 00:00:00,1,9,5,4,3,44,3,0,2,0,12,12,1,
