DEPARTMENT_KEY,Encounter CSN,Parent Hospital,Hospital,Unit,Patient Class,Census Date,Census Count,Census Count Adults,Census Count Peds
52,699,Parent Hospital_52,Hospital_52,Unit_52,Beta,2018-05-29,403,857,813
53,892,Parent Hospital_53,Hospital_53,Unit_53,Beta,2018-07-21,257,728,548
54,180,Parent Hospital_54,Hospital_54,Unit_54,Delta,2019-08-10,682,597,652
55,626,Parent Hospital_55,Hospital_55,Unit_55,Gamma,2022-05-19,97,389,383
56,543,Parent Hospital_56,Hospital_56,Unit_56,Alpha,2018-08-20,90,458,689
57,409,Parent Hospital_57,Hospital_57,Unit_57,Alpha,2021-03-04,690,589,851
58,153,Parent Hospital_58,Hospital_58,Unit_58,Gamma,2019-08-14,52,355,774
59,711,Parent Hospital_59,Hospital_59,Unit_59,Delta,2019-11-03,133,476,158
60,101,Parent Hospital_60,Hospital_60,Unit_60,Beta,2023-06-24,44,899,112
61,928,Parent Hospital_61,Hospital_61,Unit_61,Gamma,2018-02-22,901,386,15
62,912,Parent Hospital_62,Hospital_62,Unit_62,Delta,2018-04-11,111,517,562
63,194,Parent Hospital_63,Hospital_63,Unit_63,Gamma,2022-05-14,394,225,419
64,21,Parent Hospital_64,Hospital_64,Unit_64,Gamma,2024-11-11,8,57,101
65,864,Parent Hospital_65,Hospital_65,Unit_65,Alpha,2019-01-04,769,674,867
66,754,Parent Hospital_66,Hospital_66,Unit_66,Epsilon,2024-08-26,194,48,304
67,355,Parent Hospital_67,Hospital_67,Unit_67,Delta,2019-11-11,646,579,516
68,525,Parent Hospital_68,Hospital_68,Unit_68,Delta,2022-10-27,504,879,46
69,355,Parent Hospital_69,Hospital_69,Unit_69,Delta,2020-07-07,375,206,885
70,370,Parent Hospital_70,Hospital_70,Unit_70,Beta,2018-01-03,914,494,339
71,990,Parent Hospital_71,Hospital_71,Unit_71,Alpha,2023-09-19,284,505,672
72,611,Parent Hospital_72,Hospital_72,Unit_72,Delta,2020-08-31,778,524,649
73,454,Parent Hospital_73,Hospital_73,Unit_73,Alpha,2018-06-04,499,164,62
74,522,Parent Hospital_74,Hospital_74,Unit_74,Gamma,2021-06-19,997,824,612
75,114,Parent Hospital_75,Hospital_75,Unit_75,Gamma,2019-05-25,804,360,121
76,394,Parent Hospital_76,Hospital_76,Unit_76,Alpha,2024-02-11,509,410,91
77,682,Parent Hospital_77,Hospital_77,Unit_77,Alpha,2019-06-06,627,952,844
78,977,,,,,,204,139,535
79,189,Parent Hospital_79,Hospital_79,Unit_79,Delta,2024-03-07,969,166,349
80,69,Parent Hospital_80,Hospital_80,Unit_80,Epsilon,2022-09-05,174,508,759
81,519,Parent Hospital_81,Hospital_81,Unit_81,Alpha,2021-02-10,593,183,222
82,639,Parent Hospital_82,Hospital_82,Unit_82,Gamma,2018-11-22,488,527,156
83,552,Parent Hospital_83,Hospital_83,Unit_83,Epsilon,2020-10-14,279,30,453
84,925,Parent Hospital_84,Hospital_84,Unit_84,Alpha,2018-02-26,234,650,28
85,56,Parent Hospital_85,Hospital_85,Unit_85,Gamma,2019-06-21,331,960,982
86,865,Parent Hospital_86,Hospital_86,Unit_86,Epsilon,2023-08-26,110,745,543
87,874,Parent Hospital_87,Hospital_87,Unit_87,Gamma,2024-09-22,225,411,296
88,543,Parent Hospital_88,Hospital_88,Unit_88,Beta,2020-10-26,172,510,531
89,268,Parent Hospital_89,Hospital_89,Unit_89,Beta,2018-02-13,847,906,918
90,511,Parent Hospital_90,Hospital_90,Unit_90,Gamma,2024-10-07,543,371,313
91,179,Parent Hospital_91,Hospital_91,Unit_91,Gamma,2019-01-03,756,171,143
92,763,Parent Hospital_92,Hospital_92,Unit_92,Beta,2020-08-26,274,651,301
93,375,Parent Hospital_93,Hospital_93,Unit_93,Beta,2024-05-08,658,570,751
94,588,Parent Hospital_94,Hospital_94,Unit_94,Epsilon,2023-03-13,923,297,686
95,409,Parent Hospital_95,Hospital_95,Unit_95,Beta,2020-01-11,335,256,752
96,770,Parent Hospital_96,Hospital_96,Unit_96,Gamma,2022-07-12,164,754,68
97,890,Parent Hospital_97,Hospital_97,Unit_97,Gamma,2023-08-26,729,503,193
98,773,Parent Hospital_98,Hospital_98,Unit_98,Epsilon,2023-08-15,284,88,727
99,768,Parent Hospital_99,Hospital_99,Unit_99,Delta,2022-07-07,586,415,516
100,783,Parent Hospital_100,Hospital_100,Unit_100,Epsilon,2024-12-03,371,453,478
