parent_location_name,location_name,current_emergency_department_name,emergency_department_current_care_area,last_update,encounter_count
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 23:14:30,27
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 23:12:31,35
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 23:44:53,30
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 20:35:19,3
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 22:13:00,43
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 22:45:25,41
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 20:51:32,18
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 23:22:09,22
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 22:59:44,25
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:50:25,40
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 21:30:37,34
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 20:20:22,25
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 23:32:39,19
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 20:05:38,41
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 23:24:37,35
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 20:42:31,29
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 21:48:22,1
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 21:33:50,44
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 23:50:25,28
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 23:57:59,37
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 22:40:02,8
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 21:02:50,34
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 23:49:36,14
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 22:16:31,33
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 23:19:51,40
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 22:05:27,14
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 23:34:49,16
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 21:35:44,6
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 23:34:49,20
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:50:18,32
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:38:27,1
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:01:37,3
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 22:28:56,8
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 23:57:08,20
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 20:58:55,45
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 21:28:46,17
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 21:28:59,43
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:14:43,27
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:34:47,2
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 23:26:03,14
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 22:31:08,39
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 21:21:31,13
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 21:44:44,22
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 23:47:43,6
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 21:51:16,2
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Results Waiting,2026-06-10 22:54:09,22
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 21:21:47,18
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:16:08,25
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 20:52:15,39
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 22:11:58,20
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 22:02:44,28
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 23:27:19,39
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 23:31:57,30
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 22:11:40,13
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 19:59:08,13
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Resuscitation,2026-06-10 22:14:33,8
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 21:26:51,43
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 21:06:10,37
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 20:49:23,24
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 22:18:47,12
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 23:51:46,5
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 20:29:03,8
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 22:21:12,4
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 21:27:00,30
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 20:50:12,24
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 20:09:17,10
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 20:49:15,15
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 22:38:53,25
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 23:42:58,20
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 22:20:11,24
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 22:59:15,42
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 23:24:20,18
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 21:11:45,30
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 23:47:00,18
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 21:57:53,1
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:33:48,38
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 21:06:47,29
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 22:37:25,38
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 23:17:28,2
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 21:49:42,33
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 23:30:28,25
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 20:54:30,20
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 21:22:56,20
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 20:29:52,15
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 20:10:38,24
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 21:55:10,28
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 23:28:22,2
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:53:32,1
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Results Waiting,2026-06-10 21:04:52,32
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 22:05:44,33
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 20:04:13,23
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 20:45:06,25
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 22:07:20,27
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Behavioral Health,2026-06-10 22:42:58,33
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 21:53:07,42
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 20:50:14,2
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 21:28:14,27
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:30:08,38
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 23:43:54,1
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 23:13:41,32
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 20:09:38,41
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT PEDS,Observation,2026-06-10 21:36:46,14
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Fast Track,2026-06-10 23:37:28,23
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 22:36:04,6
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 21:03:22,5
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 20:56:59,11
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Fast Track,2026-06-10 21:53:38,26
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 23:16:10,34
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 21:02:50,44
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 20:26:40,2
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:46:00,7
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Results Waiting,2026-06-10 23:21:15,24
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 21:32:27,6
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 20:45:55,18
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:23:47,34
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 20:22:49,41
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 20:23:16,7
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Resuscitation,2026-06-10 20:24:00,38
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Pediatric ED,2026-06-10 21:41:33,37
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 23:07:08,19
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 23:44:39,44
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Pediatric ED,2026-06-10 22:48:28,5
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 21:25:33,25
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 23:21:00,2
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 21:30:04,8
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 22:05:50,8
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 21:27:55,34
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Main ED,2026-06-10 23:45:31,6
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 21:19:45,8
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Behavioral Health,2026-06-10 23:51:58,36
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Triage,2026-06-10 21:56:50,4
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Pediatric ED,2026-06-10 22:44:19,12
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 22:40:27,36
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 22:34:47,6
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 22:11:09,16
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Results Waiting,2026-06-10 20:21:06,36
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 22:49:04,35
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Trauma Bay,2026-06-10 21:15:50,41
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 20:31:18,35
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Hallway,2026-06-10 22:57:36,25
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 23:33:07,23
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 22:47:31,38
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 22:59:35,18
Wayne Memorial Hospital,Wayne Memorial Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 20:03:20,26
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Pediatric ED,2026-06-10 20:58:35,18
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Main ED,2026-06-10 22:41:54,7
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 23:25:08,31
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:27:58,8
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 22:01:41,23
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 20:14:58,30
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT MAIN,Main ED,2026-06-10 21:27:07,3
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 21:34:26,29
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPT PEDS,Trauma Bay,2026-06-10 22:23:58,22
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 21:38:06,22
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Observation,2026-06-10 23:09:09,28
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 23:17:27,19
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 21:32:12,42
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Hallway,2026-06-10 20:13:26,3
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Main ED,2026-06-10 22:34:38,44
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPARTMENT MAIN,Trauma Bay,2026-06-10 22:43:23,2
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPARTMENT,Trauma Bay,2026-06-10 20:00:48,38
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPT PEDS,Main ED,2026-06-10 23:24:59,37
SOUTHEASTERN REGIONAL HOSPITAL,Southeastern Regional Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 20:04:07,28
Lenoir Memorial Hospital,Lenoir Memorial Emergency Services,EMERGENCY DEPT ADULT,Fast Track,2026-06-10 22:32:29,43
Watauga Medical Center,Watauga Medical Center Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:54:36,6
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 20:11:47,1
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT ADULT,Observation,2026-06-10 20:23:53,39
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 23:52:57,45
UNC ROCKINGHAM HOSPITAL,Unc Rockingham Emergency Services,EMERGENCY DEPARTMENT,Observation,2026-06-10 21:35:04,11
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Results Waiting,2026-06-10 22:05:00,31
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT PEDS,Fast Track,2026-06-10 22:10:04,13
JOHNSTON HOSPITAL,Johnston Emergency Services,EMERGENCY DEPT PEDS,Triage,2026-06-10 23:52:43,38
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPT PEDS,Resuscitation,2026-06-10 20:24:56,17
BLUE RIDGE HOSPITAL,Blue Ridge Emergency Services,EMERGENCY DEPT PEDS,Hallway,2026-06-10 22:37:12,6
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT PEDS,Pediatric ED,2026-06-10 21:05:47,3
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 22:05:43,34
UNC HOSPITALS,Uncs Emergency Services,EMERGENCY DEPT ADULT,Resuscitation,2026-06-10 23:42:42,43
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPARTMENT,Hallway,2026-06-10 23:37:42,6
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Behavioral Health,2026-06-10 22:07:07,20
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT,Resuscitation,2026-06-10 22:35:38,28
REX HOSPITAL,Rex Emergency Services,EMERGENCY DEPT ADULT,Triage,2026-06-10 20:41:51,44
Charles A Cannon Jr Memorial Hospital,Charles A Cannon Jr Memorial Emergency Services,EMERGENCY DEPARTMENT MAIN,Hallway,2026-06-10 21:50:32,38
PARDEE HOSPITAL,Pardee Emergency Services,EMERGENCY DEPT PEDS,Behavioral Health,2026-06-10 22:53:39,30
CHATHAM HOSPITAL,Chatham Emergency Services,EMERGENCY DEPARTMENT MAIN,Observation,2026-06-10 23:35:06,41
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPARTMENT MAIN,Fast Track,2026-06-10 21:22:24,18
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT FAST TRACK,Triage,2026-06-10 23:24:39,18
NASH HOSPITAL,Nash Emergency Services,EMERGENCY DEPT ADULT,Trauma Bay,2026-06-10 20:07:41,3
CALDWELL HOSPITAL,Caldwell Emergency Services,EMERGENCY DEPARTMENT MAIN,Triage,2026-06-10 22:08:45,16
